               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  56,            0.025005,           0.0090367,                   0,             0.94726,             0.91338,             0.93935,             0.64557,            0.026607,           0.0067624,                   0,            0.004555,            0.004555,            0.004555
                  57,            0.023262,            0.010511,                   0,             0.96424,             0.91525,             0.94283,             0.60712,            0.029324,            0.006581,                   0,            0.004456,            0.004456,            0.004456
                  58,            0.022353,           0.0092628,                   0,             0.98043,             0.91525,             0.94455,             0.64268,            0.026529,           0.0063436,                   0,            0.004357,            0.004357,            0.004357
                  59,             0.02146,           0.0086996,                   0,             0.98178,             0.91344,             0.95175,             0.65283,            0.026373,           0.0062584,                   0,            0.004258,            0.004258,            0.004258
                  60,            0.022286,            0.010132,                   0,              0.9799,             0.89831,              0.9514,             0.64229,            0.026029,           0.0062647,                   0,            0.004159,            0.004159,            0.004159
                  61,            0.022442,            0.010167,                   0,             0.97933,             0.89831,             0.94798,             0.61291,            0.028135,           0.0064175,                   0,             0.00406,             0.00406,             0.00406
                  62,            0.021389,           0.0087871,                   0,             0.97918,             0.89831,             0.94737,             0.66784,            0.026032,           0.0065066,                   0,            0.003961,            0.003961,            0.003961
                  63,            0.022015,           0.0098335,                   0,             0.97917,             0.89831,             0.94126,             0.65752,            0.027553,           0.0066191,                   0,            0.003862,            0.003862,            0.003862
                  64,            0.022184,           0.0090899,                   0,             0.97926,             0.89831,             0.93998,             0.67726,            0.025866,           0.0065393,                   0,            0.003763,            0.003763,            0.003763
                  65,            0.022314,            0.010275,                   0,             0.97797,             0.89831,             0.94294,             0.64079,            0.028231,            0.006733,                   0,            0.003664,            0.003664,            0.003664
                  66,            0.020952,           0.0088492,                   0,              0.9772,             0.89831,             0.94181,             0.65071,            0.025862,           0.0066005,                   0,            0.003565,            0.003565,            0.003565
                  67,            0.020425,             0.00887,                   0,             0.96223,             0.91525,             0.94189,             0.65769,            0.026457,           0.0065671,                   0,            0.003466,            0.003466,            0.003466
                  68,            0.020606,            0.009423,                   0,             0.96421,             0.91341,             0.94231,             0.68364,            0.024445,           0.0064931,                   0,            0.003367,            0.003367,            0.003367
                  69,            0.019176,           0.0092052,                   0,             0.96331,             0.91525,             0.93888,             0.64929,            0.026445,           0.0065804,                   0,            0.003268,            0.003268,            0.003268
                  70,            0.019932,           0.0086824,                   0,             0.96426,             0.91454,             0.93409,             0.65768,            0.025135,           0.0066551,                   0,            0.003169,            0.003169,            0.003169
                  71,            0.018572,           0.0090167,                   0,             0.97127,             0.89831,             0.93465,              0.6503,            0.024698,           0.0067775,                   0,             0.00307,             0.00307,             0.00307
                  72,            0.019454,           0.0081721,                   0,             0.96994,             0.89831,             0.93202,             0.64666,            0.025154,           0.0068298,                   0,            0.002971,            0.002971,            0.002971
                  73,            0.019695,           0.0084015,                   0,             0.97409,             0.89831,             0.93411,             0.66348,            0.024959,           0.0068251,                   0,            0.002872,            0.002872,            0.002872
                  74,            0.019538,           0.0083924,                   0,             0.97768,             0.89831,             0.93798,             0.68206,            0.024412,           0.0068277,                   0,            0.002773,            0.002773,            0.002773
                  75,            0.019286,           0.0084563,                   0,             0.97885,             0.89831,             0.94121,             0.66746,            0.024553,           0.0067493,                   0,            0.002674,            0.002674,            0.002674
                  76,            0.018733,             0.00829,                   0,             0.97976,             0.89831,              0.9357,             0.65277,             0.02632,           0.0069276,                   0,            0.002575,            0.002575,            0.002575
                  77,            0.018341,            0.008287,                   0,              0.9812,             0.89831,              0.9331,             0.67065,             0.02422,           0.0069318,                   0,            0.002476,            0.002476,            0.002476
                  78,            0.017705,           0.0076371,                   0,             0.96006,             0.89831,             0.93105,             0.65315,            0.026651,            0.007005,                   0,            0.002377,            0.002377,            0.002377
